	exon_num	gene	chr	start	finish	is_TRK	strand
147	7	FLT4	5	180628882	180628999	False	-
148	8	FLT4	5	180626111	180626265	False	-
149	9	FLT4	5	180625869	180626031	False	-
150	10	FLT4	5	180623935	180624061	False	-
151	11	FLT4	5	180622731	180622839	False	-
152	12	FLT4	5	180621542	180621904	False	-
153	13	FLT4	5	180621106	180621252	False	-
154	14	FLT4	5	180620876	180621007	False	-
155	15	FLT4	5	180620609	180620715	False	-
156	16	FLT4	5	180620173	180620308	True	-
157	17	FLT4	5	180619665	180619769	True	-
158	18	FLT4	5	180619253	180619366	True	-
159	19	FLT4	5	180619021	180619109	True	-
160	20	FLT4	5	180618770	180618920	True	-
161	21	FLT4	5	180616900	180616994	True	-
162	22	FLT4	5	180616367	180616489	True	-
163	23	FLT4	5	180614068	180614179	True	-
164	24	FLT4	5	180613011	180613110	True	-
165	25	FLT4	5	180612506	180612611	True	-
166	26	FLT4	5	180611331	180611479	False	-
167	27	FLT4	5	180609905	180610025	False	-
168	28	FLT4	5	180608968	180609053	False	-
169	29	FLT4	5	180601506	180603390	False	-
170	0	ROS1	6	117425534	117425942	False	-
171	1	ROS1	6	117418462	117418506	False	-
172	2	ROS1	6	117416258	117416317	False	-
173	3	ROS1	6	117414519	117414545	False	-
174	4	ROS1	6	117409582	117409642	False	-
175	5	ROS1	6	117404280	117404428	False	-
176	6	ROS1	6	117403139	117403277	False	-
177	7	ROS1	6	117396915	117397116	False	-
178	8	ROS1	6	117396188	117396264	False	-
179	9	ROS1	6	117394616	117394738	False	-
180	10	ROS1	6	117394162	117394346	False	-
181	11	ROS1	6	117393224	117393321	False	-
182	12	ROS1	6	117389350	117389846	False	-
183	13	ROS1	6	117387780	117387992	False	-
184	14	ROS1	6	117386889	117386999	False	-
185	15	ROS1	6	117385683	117385861	False	-
186	16	ROS1	6	117383317	117383508	False	-
187	17	ROS1	6	117379059	117379159	False	-
188	18	ROS1	6	117366076	117366290	False	-
189	19	ROS1	6	117365581	117365741	False	-
190	20	ROS1	6	117365060	117365204	False	-
191	21	ROS1	6	117362603	117362865	False	-
192	22	ROS1	6	117360342	117360405	False	-
193	23	ROS1	6	117359809	117360011	False	-
194	24	ROS1	6	117357804	117358009	False	-
195	25	ROS1	6	117356629	117356915	False	-
196	26	ROS1	6	117352990	117353166	False	-
197	27	ROS1	6	117344060	117344262	False	-
198	28	ROS1	6	117342400	117342544	False	-
199	29	ROS1	6	117341400	117341632	False	-
200	30	ROS1	6	117341135	117341311	False	-
201	31	ROS1	6	117337172	117337340	False	-
202	32	ROS1	6	117329329	117329446	False	-
203	33	ROS1	6	117326224	117326414	False	-
204	34	ROS1	6	117324332	117324415	False	-
205	35	ROS1	6	117321259	117321394	False	-
206	36	ROS1	6	117319868	117320030	True	-
207	37	ROS1	6	117318188	117318252	True	-
208	38	ROS1	6	117317143	117317272	True	-
209	39	ROS1	6	117311020	117311117	True	-
210	40	ROS1	6	117310081	117310281	True	-
211	41	ROS1	6	117308794	117308928	True	-
212	42	ROS1	6	117300974	117301137	True	-
213	43	ROS1	6	117287353	117288802	False	-
214	0	RET	10	43077069	43077331	False	+
215	1	RET	10	43100459	43100722	False	+
216	2	RET	10	43102342	43102629	False	+
217	3	RET	10	43104952	43105193	False	+
218	4	RET	10	43106376	43106571	False	+
219	5	RET	10	43109031	43109230	False	+
220	6	RET	10	43111207	43111465	False	+
221	7	RET	10	43112099	43112224	False	+
222	8	RET	10	43112853	43112963	False	+
223	9	RET	10	43113556	43113675	False	+
224	10	RET	10	43114480	43114736	False	+
225	11	RET	10	43116584	43116731	True	+
226	12	RET	10	43118373	43118480	True	+
227	13	RET	10	43119531	43119745	True	+
228	14	RET	10	43120081	43120203	True	+
229	15	RET	10	43121946	43122016	True	+
230	16	RET	10	43123671	43123808	True	+
231	17	RET	10	43124883	43124982	True	+
232	18	RET	10	43126575	43126722	True	+
233	19	RET	10	43128112	43130351	False	+
234	0	ABL1	9	130835254	130835525	False	+
235	1	ABL1	9	130854064	130854237	False	+
236	2	ABL1	9	130854801	130855096	False	+
237	3	ABL1	9	130862763	130863035	True	+
238	4	ABL1	9	130872129	130872213	True	+
239	5	ABL1	9	130872860	130873037	True	+
240	6	ABL1	9	130874868	130875052	True	+
241	7	ABL1	9	130878415	130878567	True	+
242	8	ABL1	9	130880068	130880157	True	+
243	9	ABL1	9	130880500	130880664	False	+
244	10	ABL1	9	130883969	130887675	False	+
245	0	CAMTA1	1	6785454	6785575	False	+
246	1	CAMTA1	1	6820181	6820250	False	+
247	2	CAMTA1	1	6825092	6825210	False	+
248	3	CAMTA1	1	7091304	7091371	True	+
249	4	CAMTA1	1	7249491	7249626	True	+
250	5	CAMTA1	1	7467830	7467901	True	+
251	6	CAMTA1	1	7640400	7640553	False	+
252	7	CAMTA1	1	7661726	7661866	False	+
253	8	CAMTA1	1	7663353	7665199	False	+
254	9	CAMTA1	1	7670911	7671037	True	+
255	10	CAMTA1	1	7677599	7677733	True	+
256	11	CAMTA1	1	7732448	7732599	True	+
257	12	CAMTA1	1	7736344	7736540	False	+
258	13	CAMTA1	1	7736931	7737009	False	+
259	14	CAMTA1	1	7737255	7737570	False	+
260	15	CAMTA1	1	7737959	7738482	False	+
261	16	CAMTA1	1	7744835	7745022	False	+
262	17	CAMTA1	1	7745845	7746091	False	+
263	18	CAMTA1	1	7747710	7747781	False	+
264	19	CAMTA1	1	7751199	7751392	False	+
265	20	CAMTA1	1	7752459	7752533	False	+
266	21	CAMTA1	1	7755638	7755668	False	+
267	22	CAMTA1	1	7766459	7769706	False	+
268	0	EGFR	7	55019017	55019365	False	+
269	1	EGFR	7	55142286	55142437	False	+
270	2	EGFR	7	55143305	55143488	False	+
271	3	EGFR	7	55146606	55146740	False	+
272	4	EGFR	7	55151294	55151362	False	+
273	5	EGFR	7	55152546	55152664	False	+
274	6	EGFR	7	55154011	55154152	False	+
275	7	EGFR	7	55155830	55155946	False	+
276	8	EGFR	7	55156533	55156659	False	+
277	9	EGFR	7	55156759	55156832	False	+
278	10	EGFR	7	55157663	55157753	False	+
279	11	EGFR	7	55160139	55160338	False	+
280	12	EGFR	7	55161499	55161631	False	+
281	13	EGFR	7	55163733	55163823	False	+
282	14	EGFR	7	55165280	55165437	False	+
283	15	EGFR	7	55171175	55171213	False	+
284	16	EGFR	7	55172983	55173124	False	+
285	17	EGFR	7	55173921	55174043	True	+
286	18	EGFR	7	55174722	55174820	True	+
287	19	EGFR	7	55181293	55181478	True	+
288	20	EGFR	7	55191719	55191874	True	+
289	21	EGFR	7	55192766	55192841	True	+
290	22	EGFR	7	55198717	55198863	True	+
291	23	EGFR	7	55200316	55200413	True	+
292	24	EGFR	7	55201188	55201355	False	+
293	25	EGFR	7	55201735	55201782	False	+
294	26	EGFR	7	55202517	55202625	False	+
295	27	EGFR	7	55205256	55211628	False	+
296	0	FGFR4	5	177086915	177087077	False	+
297	1	FGFR4	5	177089550	177089693	False	+
298	2	FGFR4	5	177090390	177090653	False	+
299	3	FGFR4	5	177090745	177090825	False	+
300	4	FGFR4	5	177090938	177091104	False	+
301	5	FGFR4	5	177091685	177091808	False	+
302	6	FGFR4	5	177092321	177092511	False	+
303	7	FGFR4	5	177092646	177092784	False	+
304	8	FGFR4	5	177093138	177093331	False	+
305	9	FGFR4	5	177093406	177093551	False	+
306	10	FGFR4	5	177093654	177093775	True	+
307	11	FGFR4	5	177095330	177095440	True	+
308	12	FGFR4	5	177095533	177095723	True	+
309	13	FGFR4	5	177096057	177096179	True	+
310	14	FGFR4	5	177096287	177096357	True	+
311	15	FGFR4	5	177096604	177096741	True	+
312	16	FGFR4	5	177097292	177097397	True	+
313	17	FGFR4	5	177097527	177098144	False	+
314	0	PDGFRB	5	150155397	150155845	False	-
315	1	PDGFRB	5	150137008	150137053	False	-
316	2	PDGFRB	5	150135555	150135878	False	-
317	3	PDGFRB	5	150134750	150135016	False	-
318	4	PDGFRB	5	150133881	150134008	False	-
319	5	PDGFRB	5	150133586	150133760	False	-
320	6	PDGFRB	5	150132750	150132942	False	-
321	7	PDGFRB	5	150131979	150132094	False	-
322	8	PDGFRB	5	150130539	150130662	False	-
323	9	PDGFRB	5	150129757	150129968	False	-
324	10	PDGFRB	5	150126520	150126614	False	-
325	11	PDGFRB	5	150125445	150125577	True	-
326	12	PDGFRB	5	150124727	150124831	True	-
327	13	PDGFRB	5	150124250	150124360	True	-
328	14	PDGFRB	5	150123042	150123201	True	-
329	15	PDGFRB	5	150121880	150122040	True	-
330	16	PDGFRB	5	150121204	150121322	True	-
331	17	PDGFRB	5	150120888	150121010	True	-
332	18	PDGFRB	5	150120012	150120123	True	-
333	19	PDGFRB	5	150119467	150119566	True	-
334	20	PDGFRB	5	150118747	150118852	True	-
335	21	PDGFRB	5	150117618	150117850	False	-
336	22	PDGFRB	5	150113839	150115946	False	-
337	0	PDGFRA	4	54229293	54229415	False	+
338	1	PDGFRA	4	54258757	54258817	False	+
339	2	PDGFRA	4	54261095	54261412	False	+
340	3	PDGFRA	4	54263667	54263927	False	+
341	4	PDGFRA	4	54264919	54265049	False	+
342	5	PDGFRA	4	54267289	54267460	False	+
343	6	PDGFRA	4	54267552	54267741	False	+
344	7	PDGFRA	4	54270633	54270748	False	+
345	8	PDGFRA	4	54272394	54272520	False	+
346	9	PDGFRA	4	54273537	54273730	False	+
347	10	PDGFRA	4	54274531	54274625	False	+
348	11	PDGFRA	4	54274841	54274973	True	+
349	12	PDGFRA	4	54277388	54277492	True	+
350	13	PDGFRA	4	54277896	54278006	True	+
351	14	PDGFRA	4	54278362	54278515	True	+
352	15	PDGFRA	4	54280316	54280482	True	+
353	16	PDGFRA	4	54285371	54285486	True	+
354	17	PDGFRA	4	54285841	54285963	True	+
355	18	PDGFRA	4	54287430	54287541	True	+
356	19	PDGFRA	4	54288799	54288898	True	+
357	20	PDGFRA	4	54289009	54289114	True	+
358	21	PDGFRA	4	54290313	54290554	False	+
359	22	PDGFRA	4	54295125	54298245	False	+
360	0	EML4	2	42169353	42169636	False	+
361	1	EML4	2	42245505	42245687	False	+
362	2	EML4	2	42256501	42256630	False	+
363	3	EML4	2	42261121	42261294	False	+
364	4	EML4	2	42263178	42263306	False	+
365	5	EML4	2	42264706	42264731	False	+
366	6	EML4	2	42280850	42280973	False	+
367	7	EML4	2	42282823	42282972	False	+
368	8	EML4	2	42284634	42284703	False	+
369	9	EML4	2	42286269	42286379	False	+
370	10	EML4	2	42288227	42288322	False	+
371	11	EML4	2	42295125	42295259	False	+
372	12	EML4	2	42295381	42295516	False	+
373	13	EML4	2	42301241	42301392	False	+
374	14	EML4	2	42303104	42303229	False	+
375	15	EML4	2	42303315	42303446	False	+
376	16	EML4	2	42304484	42304551	False	+
377	17	EML4	2	42315962	42316050	False	+
378	18	EML4	2	42317427	42317524	False	+
379	19	EML4	2	42325467	42325554	False	+
380	20	EML4	2	42326154	42326252	False	+
381	21	EML4	2	42328886	42329016	False	+
382	22	EML4	2	42329734	42332548	False	+
383	0	ERBB2	17	39700064	39700311	False	+
384	1	ERBB2	17	39706990	39707141	False	+
385	2	ERBB2	17	39708321	39708534	False	+
386	3	ERBB2	17	39709318	39709452	False	+
387	4	ERBB2	17	39709813	39709881	False	+
388	5	ERBB2	17	39710086	39710201	False	+
389	6	ERBB2	17	39710340	39710481	False	+
390	7	ERBB2	17	39711928	39712047	False	+
391	8	ERBB2	17	39712322	39712448	False	+
392	9	ERBB2	17	39715286	39715359	False	+
393	10	ERBB2	17	39715446	39715536	False	+
394	11	ERBB2	17	39715740	39715939	False	+
395	12	ERBB2	17	39716301	39716433	False	+
396	13	ERBB2	17	39716515	39716605	False	+
397	14	ERBB2	17	39717320	39717480	False	+
398	15	ERBB2	17	39719787	39719834	False	+
399	16	ERBB2	17	39723319	39723457	False	+
400	17	ERBB2	17	39723538	39723660	True	+
401	18	ERBB2	17	39723912	39724010	True	+
402	19	ERBB2	17	39724726	39724911	True	+
403	20	ERBB2	17	39725049	39725204	True	+
404	21	ERBB2	17	39725327	39725402	True	+
405	22	ERBB2	17	39725707	39725853	True	+
406	23	ERBB2	17	39726562	39726659	True	+
407	24	ERBB2	17	39726815	39727003	False	+
408	25	ERBB2	17	39727295	39727547	False	+
409	26	ERBB2	17	39727689	39728658	False	+
410	0	ERBB3	12	56080165	56080382	False	+
411	1	ERBB3	12	56083751	56083902	False	+
412	2	ERBB3	12	56084995	56085181	False	+
413	3	ERBB3	12	56086531	56086656	False	+
414	4	ERBB3	12	56087577	56087642	False	+
415	5	ERBB3	12	56087795	56087913	False	+
416	6	ERBB3	12	56088021	56088162	False	+
417	7	ERBB3	12	56088543	56088656	False	+
418	8	ERBB3	12	56088748	56088868	False	+
419	9	ERBB3	12	56092747	56092820	False	+
420	10	ERBB3	12	56092986	56093076	False	+
421	11	ERBB3	12	56093345	56093550	False	+
422	12	ERBB3	12	56093764	56093896	False	+
423	13	ERBB3	12	56094099	56094189	False	+
424	14	ERBB3	12	56094402	56094556	False	+
425	15	ERBB3	12	56095257	56095310	False	+
426	16	ERBB3	12	56095665	56095806	False	+
427	17	ERBB3	12	56096503	56096622	True	+
428	18	ERBB3	12	56096748	56096846	True	+
429	19	ERBB3	12	56097045	56097230	True	+
430	20	ERBB3	12	56097785	56097940	True	+
431	21	ERBB3	12	56098500	56098575	True	+
432	22	ERBB3	12	56098759	56098905	True	+
433	23	ERBB3	12	56099648	56099745	True	+
434	24	ERBB3	12	56099838	56100029	False	+
435	25	ERBB3	12	56100174	56100245	False	+
436	26	ERBB3	12	56101061	56101361	False	+
437	27	ERBB3	12	56101529	56103505	False	+
438	0	BRAF	7	140924566	140924929	False	-
439	1	BRAF	7	140850111	140850212	False	-
440	2	BRAF	7	140834609	140834872	False	-
441	3	BRAF	7	140808892	140808995	False	-
442	4	BRAF	7	140807960	140808062	False	-
443	5	BRAF	7	140801412	140801560	False	-
444	6	BRAF	7	140800362	140800481	False	-
445	7	BRAF	7	140794308	140794467	False	-
446	8	BRAF	7	140787548	140787584	False	-
447	9	BRAF	7	140783021	140783157	False	-
448	10	BRAF	7	140781576	140781693	True	-
449	11	BRAF	7	140777991	140778075	True	-
450	12	BRAF	7	140776912	140777088	True	-
451	13	BRAF	7	140754187	140754233	True	-
452	14	BRAF	7	140753275	140753393	True	-
453	15	BRAF	7	140749287	140749418	True	-
454	16	BRAF	7	140739812	140739946	True	-
455	17	BRAF	7	140730665	140734770	False	-
456	0	ALK	2	29919993	29921586	False	-
457	1	ALK	2	29717578	29717697	False	-
458	2	ALK	2	29694850	29695014	False	-
459	3	ALK	2	29531915	29532116	False	-
460	4	ALK	2	29383732	29383859	False	-
461	5	ALK	2	29328350	29328481	False	-
462	6	ALK	2	29320751	29320882	False	-
463	7	ALK	2	29318304	29318404	False	-
464	8	ALK	2	29296888	29297057	False	-
465	9	ALK	2	29275402	29275496	False	-
466	10	ALK	2	29275099	29275227	False	-
467	11	ALK	2	29251105	29251267	False	-
468	12	ALK	2	29239680	29239830	False	-
469	13	ALK	2	29233565	29233696	False	-
470	14	ALK	2	29232304	29232448	False	-
471	15	ALK	2	29228884	29229066	False	-
472	16	ALK	2	29227574	29227672	False	-
473	17	ALK	2	29226922	29227074	False	-
474	18	ALK	2	29225461	29225565	False	-
475	19	ALK	2	29223927	29224027	Control	-
476	20	ALK	2	29223828	29223928	Control	-
477	21	ALK	2	29223529	29223822	Intron	-
478	22	ALK	2	29223722	29223822	Intron	-
479	23	ALK	2	29223621	29223721	Intron	-
480	24	ALK	2	29223529	29223620	Intron	-
481	25	ALK	2	29223342	29223528	True	-
482	26	ALK	2	29222517	29222607	True	-
483	27	ALK	2	29222344	29222408	True	-
484	28	ALK	2	29220706	29220835	True	-
485	29	ALK	2	29213984	29214081	True	-
486	30	ALK	2	29209786	29209878	True	-
487	31	ALK	2	29207171	29207272	True	-
488	32	ALK	2	29197542	29197676	True	-
489	33	ALK	2	29196770	29196860	True	-
490	34	ALK	2	29192774	29193922	True	-
